TYPE,Type,question_id,res,verieql_res_orig,verieql_res,bound_size,counterexample_path,runtime,output1,output2,generated_sql,gold_sql
BG,Incorrect Gold,662,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_662_bound2.txt,0.850412,"[(1,)]","[(2,)]","SELECT COUNT(DISTINCT POSTID) FROM VOTES WHERE STRFTIME('%Y', CREATIONDATE) = '2011' AND BOUNTYAMOUNT = 50","SELECT COUNT(T1.ID) FROM POSTS AS T1 INNER JOIN VOTES AS T2 ON T1.ID = T2.POSTID WHERE T2.BOUNTYAMOUNT = 50 AND STRFTIME('%Y', T2.CREATIONDATE) = '2011'"
AQ,Ambiguous question,668,correct,incorrect,incorrect,3,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_668_bound3.txt,2.301865,"[('2147483649',)]","[('2147483650',)]",SELECT T2.DISPLAYNAME FROM BADGES AS T1 JOIN USERS AS T2 ON T1.USERID = T2.ID GROUP BY T2.DISPLAYNAME ORDER BY COUNT(T1.NAME) DESC LIMIT 1,SELECT T1.DISPLAYNAME FROM USERS AS T1 INNER JOIN BADGES AS T2 ON T1.ID = T2.USERID GROUP BY T1.DISPLAYNAME ORDER BY COUNT(T1.ID) DESC LIMIT 1
BP,Incorrect prediction,674,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_674_bound1.txt,0.171429,"[('2147483648',)]",[],SELECT DISPLAYNAME FROM USERS ORDER BY REPUTATION DESC LIMIT 1,SELECT DISPLAYNAME FROM USERS WHERE REPUTATION = ( SELECT MAX(REPUTATION) FROM USERS )
BG,Incorrect Gold,698,correct,correct,incorrect,1,./VeriEQL_results/gena_submission_2_sql.json_no_shrink/counterexample_698_bound1.txt,-1,"[(1, 0)]","[(0, 0)]","SELECT (SELECT COUNT(*) FROM COMMENTS WHERE POSTID = (SELECT ID FROM POSTS WHERE TITLE = 'CLUSTERING 1D DATA')) AS NUMBEROFCOMMENTS, (SELECT COUNT(*) FROM POSTS WHERE PARENTID = (SELECT ID FROM POSTS WHERE TITLE = 'CLUSTERING 1D DATA') AND POSTTYPEID = 2) AS NUMBEROFANSWERS","SELECT COMMENTCOUNT, ANSWERCOUNT FROM POSTS WHERE TITLE = 'CLUSTERING 1D DATA'"
BP,Incorrect prediction,760,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_760_bound1.txt,0.220379,"[(None,)]","[(0.0,)]",SELECT (COUNT(CASE WHEN T2.PUBLISHER_NAME = 'MARVEL COMICS' THEN 1 ELSE NULL END) * 100.0 / COUNT(T2.PUBLISHER_NAME)) AS PERCENTAGE FROM SUPERHERO AS T1 INNER JOIN PUBLISHER AS T2 ON T1.PUBLISHER_ID = T2.ID WHERE T1.HEIGHT_CM BETWEEN 150 AND 180,SELECT CAST(COUNT(CASE WHEN T2.PUBLISHER_NAME = 'MARVEL COMICS' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.ID) FROM SUPERHERO AS T1 INNER JOIN PUBLISHER AS T2 ON T1.PUBLISHER_ID = T2.ID WHERE T1.HEIGHT_CM BETWEEN 150 AND 180
BP,Incorrect prediction,767,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_767_bound1.txt,0.206815,"[(1.0,)]","[(None,)]",SELECT CAST(COUNT(T1.ID) AS REAL) / SUM(CASE WHEN T2.COLOUR = 'NO COLOUR' THEN 1 ELSE 0 END) FROM SUPERHERO AS T1 INNER JOIN COLOUR AS T2 ON T1.SKIN_COLOUR_ID = T2.ID,SELECT CAST(COUNT(*) AS REAL) / SUM(CASE WHEN T2.ID = 1 THEN 1 ELSE 0 END) FROM SUPERHERO AS T1 INNER JOIN COLOUR AS T2 ON T1.SKIN_COLOUR_ID = T2.ID
AQ,Ambiguous question,769,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_769_bound2.txt,3.592122,"[('2147483649',)]","[('2147483648',)]",SELECT S.SUPERHERO_NAME FROM SUPERHERO S JOIN PUBLISHER P ON S.PUBLISHER_ID = P.ID JOIN HERO_ATTRIBUTE HA ON S.ID = HA.HERO_ID JOIN ATTRIBUTE A ON HA.ATTRIBUTE_ID = A.ID WHERE P.PUBLISHER_NAME = 'DARK HORSE COMICS' AND A.ATTRIBUTE_NAME = 'DURABILITY' ORDER BY HA.ATTRIBUTE_VALUE DESC LIMIT 1,SELECT T1.SUPERHERO_NAME FROM SUPERHERO AS T1 INNER JOIN HERO_ATTRIBUTE AS T2 ON T1.ID = T2.HERO_ID INNER JOIN ATTRIBUTE AS T3 ON T3.ID = T2.ATTRIBUTE_ID INNER JOIN PUBLISHER AS T4 ON T4.ID = T1.PUBLISHER_ID WHERE T4.PUBLISHER_NAME = 'DARK HORSE COMICS' AND T3.ATTRIBUTE_NAME = 'DURABILITY' ORDER BY T2.ATTRIBUTE_VALUE DESC LIMIT 1
BG,Incorrect Gold,813,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_813_bound1.txt,0.210829,"[(-11.0,)]","[(None,)]",SELECT AVG(HA.ATTRIBUTE_VALUE) FROM SUPERHERO S JOIN HERO_ATTRIBUTE HA ON S.ID = HA.HERO_ID WHERE S.ALIGNMENT_ID = 3,SELECT AVG(T1.ATTRIBUTE_VALUE) FROM HERO_ATTRIBUTE AS T1 INNER JOIN SUPERHERO AS T2 ON T1.HERO_ID = T2.ID INNER JOIN ALIGNMENT AS T3 ON T2.ALIGNMENT_ID = T3.ID WHERE T3.ALIGNMENT = 'NEUTRAL'
BG,Incorrect Gold,885,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_885_bound1.txt,0.247787,[],"[('2147483648', '1000-01-01')]","SELECT NAME, DATE FROM RACES WHERE YEAR = 1999 AND ROUND = (SELECT MAX(ROUND) FROM RACES WHERE YEAR = 1999)","SELECT NAME, DATE FROM RACES WHERE YEAR = 1999 ORDER BY ROUND DESC LIMIT 1"
BG,Incorrect Gold,939,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_939_bound2.txt,1.920063,"[(1,)]","[(2,)]",SELECT COUNT(DISTINCT D.DRIVERID) FROM DRIVERS D JOIN RESULTS R ON D.DRIVERID = R.DRIVERID JOIN RACES RA ON R.RACEID = RA.RACEID WHERE D.NATIONALITY = 'BRITISH' AND RA.YEAR = 2008 AND RA.NAME = 'AUSTRALIAN GRAND PRIX',SELECT COUNT(*) FROM DRIVERS AS T1 INNER JOIN RESULTS AS T2 ON T1.DRIVERID = T2.DRIVERID INNER JOIN RACES AS T3 ON T3.RACEID = T2.RACEID WHERE T3.NAME = 'AUSTRALIAN GRAND PRIX' AND T1.NATIONALITY = 'BRITISH' AND T3.YEAR = 2008
BG,Incorrect Gold,977,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_977_bound1.txt,0.252344,"[(0,)]","[(None,)]",SELECT COUNT(DRIVERID) FROM RESULTS WHERE RACEID > 50 AND RACEID < 100 AND TIME IS NOT NULL AND STATUSID = 2,"SELECT SUM(IIF(TIME IS NOT NULL, 1, 0)) FROM RESULTS WHERE STATUSID = 2 AND RACEID < 100 AND RACEID > 50"
BG,Incorrect Gold,983,correct,incorrect,incorrect,4,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_983_bound4.txt,5.958738,"[('2147483649',)]","[('2147483648',)]",SELECT C.URL FROM CONSTRUCTORS C JOIN CONSTRUCTORSTANDINGS CS ON C.CONSTRUCTORID = CS.CONSTRUCTORID WHERE C.NATIONALITY = 'ITALIAN' GROUP BY C.CONSTRUCTORID ORDER BY SUM(CS.POINTS) DESC LIMIT 1,SELECT T1.URL FROM CONSTRUCTORS AS T1 INNER JOIN CONSTRUCTORSTANDINGS AS T2 ON T1.CONSTRUCTORID = T2.CONSTRUCTORID WHERE T1.NATIONALITY = 'ITALIAN' ORDER BY T2.POINTS DESC LIMIT 1
BG,Incorrect Gold,1019,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1019_bound2.txt,1.19185,"[(2.0,)]","[(1.0,)]",SELECT AVG(L.MILLISECONDS) AS AVERAGE FROM LAPTIMES L JOIN RACES R ON L.RACEID = R.RACEID JOIN CIRCUITS C ON R.CIRCUITID = C.CIRCUITID WHERE C.COUNTRY = 'ITALY',SELECT CAST(SUM(T1.MILLISECONDS) AS REAL) / COUNT(T1.LAP) FROM LAPTIMES AS T1 INNER JOIN RACES AS T2 ON T1.RACEID = T2.RACEID INNER JOIN CIRCUITS AS T3 ON T2.CIRCUITID = T3.CIRCUITID WHERE T3.COUNTRY = 'ITALY'
BP,Incorrect prediction,1030,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1030_bound1.txt,0.591265,"[('2147483648',)]",[],"SELECT L.NAME FROM ( SELECT M.LEAGUE_ID, COUNT(CASE WHEN M.HOME_TEAM_GOAL = M.AWAY_TEAM_GOAL THEN 1 END) AS DRAW_COUNT FROM MATCH M WHERE M.SEASON = '2015/2016' GROUP BY M.LEAGUE_ID ) AS SUBQUERY JOIN LEAGUE L ON SUBQUERY.LEAGUE_ID = L.ID ORDER BY SUBQUERY.DRAW_COUNT DESC LIMIT 1",SELECT T2.NAME FROM MATCH AS T1 INNER JOIN LEAGUE AS T2 ON T1.LEAGUE_ID = T2.ID WHERE T1.SEASON = '2015/2016' AND T1.HOME_TEAM_GOAL = T1.AWAY_TEAM_GOAL GROUP BY T2.NAME ORDER BY COUNT(T1.ID) DESC LIMIT 1
BG,Incorrect Gold,1069,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1069_bound1.txt,0.235799,[],"[('2147483648',)]",SELECT PLAYER_NAME FROM PLAYER WHERE HEIGHT = (SELECT MIN(HEIGHT) FROM PLAYER),SELECT PLAYER_NAME FROM PLAYER ORDER BY HEIGHT ASC LIMIT 1
BP,Incorrect prediction,1081,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1081_bound2.txt,0.675566,"[('2147483648',)]","[('2147483648',), ('2147483649',)]",SELECT T1.NAME FROM COUNTRY AS T1 INNER JOIN LEAGUE AS T2 ON T1.ID = T2.COUNTRY_ID WHERE T2.NAME = 'BELGIUM JUPILER LEAGUE' LIMIT 1,SELECT T1.NAME FROM COUNTRY AS T1 INNER JOIN LEAGUE AS T2 ON T1.ID = T2.COUNTRY_ID WHERE T2.NAME = 'BELGIUM JUPILER LEAGUE'
BP,Incorrect prediction,1101,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1101_bound2.txt,3.066879,"[(-2.0,)]","[(-1.0,)]",SELECT AVG(M.AWAY_TEAM_GOAL) AS AVERAGE_GOALS FROM MATCH M JOIN TEAM T ON M.AWAY_TEAM_API_ID = T.TEAM_API_ID WHERE T.TEAM_LONG_NAME = 'PARMA' AND M.COUNTRY_ID = (SELECT ID FROM COUNTRY WHERE NAME = 'ITALY'),SELECT CAST(SUM(T1.AWAY_TEAM_GOAL) AS REAL) / COUNT(T1.ID) FROM MATCH AS T1 INNER JOIN TEAM AS T2 ON T1.AWAY_TEAM_API_ID = T2.TEAM_API_ID INNER JOIN COUNTRY AS T3 ON T1.COUNTRY_ID = T3.ID WHERE T2.TEAM_LONG_NAME = 'PARMA' AND T3.NAME = 'ITALY'
BG,Incorrect Gold,1127,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1127_bound1.txt,3.940861,"[('2147483648',)]",[],"SELECT DISTINCT C.NAME FROM PLAYER P JOIN PLAYER_ATTRIBUTES PA ON P.PLAYER_API_ID = PA.PLAYER_API_ID JOIN MATCH M ON P.PLAYER_API_ID IN (M.HOME_PLAYER_1, M.HOME_PLAYER_2, M.HOME_PLAYER_3, M.HOME_PLAYER_4, M.HOME_PLAYER_5, M.HOME_PLAYER_6, M.HOME_PLAYER_7, M.HOME_PLAYER_8, M.HOME_PLAYER_9, M.HOME_PLAYER_10, M.HOME_PLAYER_11, M.AWAY_PLAYER_1, M.AWAY_PLAYER_2, M.AWAY_PLAYER_3, M.AWAY_PLAYER_4, M.AWAY_PLAYER_5, M.AWAY_PLAYER_6, M.AWAY_PLAYER_7, M.AWAY_PLAYER_8, M.AWAY_PLAYER_9, M.AWAY_PLAYER_10, M.AWAY_PLAYER_11) JOIN LEAGUE L ON M.LEAGUE_ID = L.ID JOIN COUNTRY C ON L.COUNTRY_ID = C.ID WHERE PA.VISION > 89",SELECT DISTINCT T4.NAME FROM PLAYER_ATTRIBUTES AS T1 INNER JOIN PLAYER AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID INNER JOIN MATCH AS T3 ON T2.PLAYER_API_ID = T3.HOME_PLAYER_8 INNER JOIN COUNTRY AS T4 ON T3.COUNTRY_ID = T4.ID WHERE T1.VISION > 89
BG,Incorrect Gold,1134,correct,correct,incorrect,1,./VeriEQL_results/slm_sql.json_no_shrink/counterexample_1134_bound1.txt,-1,"[(None,)]","[(0,)]",SELECT (SELECT JUMPING FROM PLAYER_ATTRIBUTES WHERE ID = 6) - (SELECT JUMPING FROM PLAYER_ATTRIBUTES WHERE ID = 23) AS DIFFERENCE,SELECT SUM(CASE WHEN T1.ID = 6 THEN T1.JUMPING ELSE 0 END) - SUM(CASE WHEN T1.ID = 23 THEN T1.JUMPING ELSE 0 END) FROM PLAYER_ATTRIBUTES AS T1
BP,Incorrect prediction,1173,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1173_bound1.txt,0.222564,"[('2147483649',)]","[('2147483648',)]",SELECT DIAGNOSIS FROM EXAMINATION WHERE EXAMINATION_DATE BETWEEN '1985-01-01' AND '1995-12-31' GROUP BY DIAGNOSIS ORDER BY COUNT(DIAGNOSIS) DESC LIMIT 1,SELECT T2.DIAGNOSIS FROM EXAMINATION AS T1 INNER JOIN PATIENT AS T2 ON T1.ID = T2.ID WHERE T1.EXAMINATION_DATE BETWEEN '1985-01-01' AND '1995-12-31' GROUP BY T2.DIAGNOSIS ORDER BY COUNT(T2.DIAGNOSIS) DESC LIMIT 1
AQ,Ambiguous question,1189,correct,incorrect,incorrect,1,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1189_bound1.txt,0.32067,"[(1,)]","[(0,)]",SELECT COUNT(*) FROM EXAMINATION WHERE THROMBOSIS = 2 AND ANA_PATTERN = 'S' AND ACL_IGM >= (SELECT AVG(ACL_IGM) * 1.2 FROM EXAMINATION WHERE THROMBOSIS = 2 AND ANA_PATTERN = 'S'),SELECT COUNT(*) FROM EXAMINATION WHERE THROMBOSIS = 2 AND ANA_PATTERN = 'S' AND ACL_IGM > (SELECT AVG(ACL_IGM) * 1.2 FROM EXAMINATION WHERE THROMBOSIS = 2 AND ANA_PATTERN = 'S')
BG,Incorrect Gold,1202,correct,incorrect,incorrect,2,./VeriEQL_results/csc-32b_sql.json_no_shrink/counterexample_1202_bound2.txt,8.624759,"[(1,)]","[(2,)]",SELECT COUNT(DISTINCT P.ID) FROM PATIENT P JOIN EXAMINATION E ON P.ID = E.ID WHERE P.SEX = 'M' AND E.EXAMINATION_DATE BETWEEN '1995-01-01' AND '1997-12-31' AND E.DIAGNOSIS = 'BEHCET' AND P.ADMISSION = '-',"SELECT COUNT(T1.ID) FROM PATIENT AS T1 INNER JOIN EXAMINATION AS T2 ON T1.ID = T2.ID WHERE T2.DIAGNOSIS = 'BEHCET' AND T1.SEX = 'M' AND STRFTIME('%Y', T2.EXAMINATION_DATE) BETWEEN '1995' AND '1997' AND T1.ADMISSION = '-'"
